               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098954,             0.23631,                   0,            0.042429,             0.47099,            0.043836,            0.011686,            0.088224,             0.18099,                   0,            0.070395,           0.0032895,           0.0032895
                   1,            0.092029,             0.23721,                   0,            0.059036,             0.27313,            0.035054,           0.0095507,             0.10738,             0.14764,                   0,            0.040329,           0.0065572,           0.0065572
                   2,            0.088025,             0.23048,                   0,             0.18036,             0.19473,             0.09091,            0.024916,            0.096948,             0.15417,                   0,            0.010198,            0.009759,            0.009759
                   3,            0.082504,             0.23081,                   0,              0.1909,             0.22166,             0.10559,            0.027249,            0.089652,              0.1601,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.078585,             0.23393,                   0,              0.2933,             0.32236,             0.21851,            0.067124,            0.076125,             0.22999,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.07569,             0.23255,                   0,            0.089429,            0.098027,             0.03661,           0.0089078,            0.099055,             0.54674,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.073319,             0.23553,                   0,             0.35074,             0.33835,             0.26225,            0.091008,            0.073995,             0.24517,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.07136,             0.23192,                   0,             0.41337,             0.39887,             0.32796,             0.11186,            0.070744,             0.18916,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.070219,             0.23121,                   0,             0.33581,             0.38068,             0.27795,            0.093593,            0.072048,             0.24277,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.068724,             0.23334,                   0,             0.48833,             0.47193,             0.43527,             0.14915,            0.064615,             0.18584,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.067851,             0.23149,                   0,              0.3847,             0.44716,             0.34272,             0.12466,            0.068515,             0.25155,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.066547,              0.2316,                   0,             0.42225,             0.45688,             0.37764,             0.13112,            0.067317,             0.21185,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.065718,             0.23685,                   0,             0.52649,             0.47883,             0.45961,              0.1847,            0.061276,              0.1783,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.065222,             0.23032,                   0,             0.50306,             0.50925,             0.46534,               0.159,             0.06282,             0.18791,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.064423,             0.23343,                   0,             0.57122,             0.51678,             0.51585,             0.20458,            0.058635,             0.17556,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.063964,             0.23044,                   0,             0.46415,             0.49859,             0.42719,             0.16462,            0.063312,             0.21491,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.06296,              0.2304,                   0,             0.55881,             0.46788,             0.47914,             0.17659,            0.061771,             0.17279,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.063321,             0.22739,                   0,             0.53087,             0.52712,             0.49995,              0.2013,            0.059361,             0.19017,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.063117,             0.22671,                   0,             0.55493,             0.50455,             0.49877,             0.18284,            0.060354,             0.18035,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.063159,             0.22949,                   0,             0.54452,             0.55127,             0.52731,             0.19331,            0.059131,             0.18123,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.061616,             0.22314,                   0,             0.54183,             0.54092,              0.5125,             0.21036,            0.058753,             0.19126,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.062148,             0.22872,                   0,             0.57829,             0.55687,             0.54915,             0.21762,            0.057341,             0.17753,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.061826,             0.23129,                   0,             0.58501,              0.5105,             0.52181,             0.18739,            0.059411,             0.16893,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.061427,             0.22286,                   0,             0.50146,             0.53685,             0.47592,             0.17446,            0.060782,             0.19913,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.061082,             0.22659,                   0,             0.55785,             0.55597,              0.5418,             0.22506,             0.05726,              0.1808,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.061341,             0.22999,                   0,             0.57415,             0.54495,             0.54032,             0.21601,            0.056868,             0.17829,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.060686,              0.2272,                   0,              0.5902,             0.54239,             0.56533,             0.22874,            0.056204,             0.16888,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.061201,              0.2314,                   0,             0.53595,             0.53434,             0.51352,             0.19947,            0.058547,             0.18317,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.060601,             0.23017,                   0,             0.50662,             0.51772,              0.4799,             0.19991,            0.059748,             0.20019,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.059921,             0.22365,                   0,             0.56434,             0.57151,             0.55762,             0.22853,            0.056167,             0.18162,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.059978,             0.22632,                   0,             0.57483,              0.5588,             0.55249,             0.20543,            0.057322,              0.1737,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.060255,             0.22642,                   0,             0.58345,             0.55848,             0.55404,             0.21026,            0.057341,             0.18109,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.059334,             0.22227,                   0,             0.60205,             0.57355,             0.58263,             0.20857,            0.057237,             0.17298,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.060178,             0.22616,                   0,             0.64006,             0.57322,             0.59788,             0.22652,            0.056359,             0.16413,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.059172,             0.22464,                   0,             0.54207,             0.58545,             0.54928,             0.22604,            0.056278,             0.19082,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.058747,             0.22194,                   0,             0.56344,              0.5704,             0.54901,             0.22396,            0.056069,             0.18353,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.05894,              0.2255,                   0,             0.58854,             0.58043,               0.576,              0.2281,            0.055917,              0.1775,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.058913,             0.22982,                   0,             0.58379,              0.5751,             0.57818,             0.23228,            0.056059,              0.1745,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.059068,             0.22411,                   0,             0.55594,             0.57385,              0.5481,             0.23303,            0.056171,             0.19311,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.058306,             0.22278,                   0,             0.62102,             0.58012,             0.59618,             0.24129,            0.054654,             0.17113,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.058857,             0.22452,                   0,             0.63691,             0.57259,             0.60511,             0.22516,            0.056485,             0.16308,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.058619,             0.22869,                   0,              0.5681,             0.60458,             0.57785,             0.23116,            0.055727,             0.17963,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.058177,             0.22632,                   0,             0.57161,             0.56235,             0.55385,             0.21475,            0.057047,             0.17841,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.058111,             0.22155,                   0,             0.62567,             0.60207,             0.62266,              0.2628,            0.053613,             0.16995,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.058384,             0.22038,                   0,             0.59571,             0.59266,             0.59563,             0.25157,            0.054815,             0.17787,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.058264,             0.22074,                   0,             0.56733,             0.60144,             0.58225,              0.2458,            0.054987,             0.18443,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.058444,             0.23088,                   0,              0.6337,             0.61461,             0.63241,             0.25767,            0.053655,             0.16785,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.058068,             0.22361,                   0,             0.61462,             0.62402,              0.6284,              0.2642,              0.0534,             0.17757,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.057807,             0.22362,                   0,             0.64125,              0.5891,              0.6235,             0.25673,            0.053853,             0.16718,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.058189,             0.22623,                   0,              0.5954,             0.57385,             0.57608,              0.2312,            0.055685,             0.17595,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.056809,             0.21649,                   0,             0.62591,             0.59862,              0.6187,             0.25295,            0.054375,             0.16966,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.057425,             0.22681,                   0,             0.61761,             0.60978,             0.62657,             0.25039,            0.053937,             0.17434,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.057495,             0.22172,                   0,             0.63878,              0.5936,             0.61524,             0.25665,            0.054101,             0.16841,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.057561,             0.22424,                   0,             0.59976,             0.58362,              0.5902,             0.23981,            0.055008,              0.1733,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.057303,             0.22517,                   0,             0.59862,             0.61451,             0.60429,             0.25715,            0.054264,             0.18096,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.057042,             0.22222,                   0,             0.56545,             0.59737,             0.57901,             0.23504,            0.055497,             0.18518,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.056364,             0.21601,                   0,              0.5883,             0.59204,             0.58886,             0.24818,            0.054568,             0.17703,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.056626,             0.21875,                   0,             0.63369,             0.57573,             0.60296,             0.23221,            0.055303,              0.1655,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.056334,             0.21689,                   0,             0.57843,             0.60426,             0.58925,             0.24017,            0.054703,             0.17881,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.056441,              0.2203,                   0,             0.62957,             0.60332,             0.62625,             0.25502,            0.053634,                0.17,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.056447,             0.21881,                   0,             0.61285,             0.62088,             0.62269,             0.26535,            0.053371,             0.17118,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.056753,             0.22382,                   0,             0.61837,             0.61683,             0.62521,             0.26177,             0.05353,             0.17649,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.056157,             0.22184,                   0,             0.63545,             0.60332,             0.62259,             0.26604,             0.05323,              0.1726,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.055954,             0.21692,                   0,             0.63439,             0.61555,             0.63471,             0.25941,            0.053624,             0.16736,                   0,            0.003862,            0.003862,            0.003862
                  64,              0.0562,             0.21577,                   0,             0.61408,             0.62026,             0.62354,             0.25858,            0.053345,             0.17065,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.05531,             0.21303,                   0,             0.58571,             0.61116,             0.60365,              0.2528,            0.054121,             0.17468,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.056335,             0.22186,                   0,               0.635,             0.60773,             0.62598,             0.26535,            0.052975,             0.17122,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.055727,             0.21819,                   0,             0.61402,             0.60865,             0.61754,             0.26535,            0.053354,             0.17067,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.055695,             0.21282,                   0,             0.63382,             0.60615,             0.62306,             0.26025,            0.053294,             0.16813,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.056271,             0.22225,                   0,             0.61925,             0.59235,             0.60486,             0.23882,            0.054515,              0.1723,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.055861,             0.21826,                   0,             0.62937,              0.5936,             0.60825,             0.24692,             0.05431,             0.17051,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.055888,             0.21927,                   0,             0.64156,             0.59705,             0.61801,             0.24881,            0.053985,             0.16843,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.055779,             0.22035,                   0,             0.59688,             0.60019,             0.60193,             0.25087,            0.053985,             0.17515,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.055821,             0.21801,                   0,             0.64871,             0.61681,             0.64139,             0.26952,            0.052631,             0.16682,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.055681,             0.21642,                   0,             0.61432,             0.60834,             0.61567,              0.2575,            0.053808,              0.1734,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.05543,             0.21656,                   0,             0.61536,             0.61242,             0.61008,             0.25359,            0.053726,             0.17585,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.054937,             0.21525,                   0,             0.64574,             0.61775,             0.63977,             0.26779,              0.0531,             0.16807,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.05541,             0.22023,                   0,              0.6142,             0.60458,             0.59982,             0.23486,            0.054381,             0.17814,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.054927,             0.21673,                   0,             0.61188,             0.62983,             0.62776,             0.26553,            0.053322,             0.17522,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.055119,             0.21274,                   0,             0.63157,             0.59611,             0.61605,             0.26049,            0.053631,              0.1691,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.054993,             0.21792,                   0,             0.64747,             0.61587,             0.63643,             0.26688,            0.053363,             0.16918,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.054621,             0.21494,                   0,             0.62854,             0.62747,             0.62903,             0.26507,            0.052963,             0.16969,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.054634,             0.21452,                   0,              0.6106,             0.61775,             0.61141,             0.25789,              0.0536,             0.17331,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.054993,              0.2181,                   0,             0.62709,             0.61367,             0.62178,             0.25209,            0.053751,             0.17121,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.054488,             0.21329,                   0,             0.63598,              0.6281,             0.63769,             0.26126,            0.053205,             0.16845,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.054222,             0.20721,                   0,             0.63024,             0.62559,             0.62936,             0.26002,            0.053425,             0.17333,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.05455,             0.21503,                   0,              0.6427,             0.63092,             0.63793,             0.26857,            0.052982,             0.17201,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.054695,             0.21378,                   0,             0.63652,             0.61336,             0.63273,             0.26674,            0.052745,              0.1681,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.054877,              0.2199,                   0,             0.65795,             0.62904,             0.64689,             0.27044,            0.052713,             0.16729,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.054098,             0.21489,                   0,             0.61807,             0.62339,             0.62565,             0.26475,            0.053227,             0.17407,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.054026,             0.21062,                   0,             0.62964,             0.62277,             0.62973,             0.25862,            0.053231,             0.16888,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.054489,             0.21308,                   0,             0.61475,             0.61304,             0.61639,             0.25709,            0.053756,             0.17644,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.054401,             0.21236,                   0,             0.63827,             0.61681,             0.63293,             0.26901,            0.052946,              0.1698,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.054396,             0.21435,                   0,             0.61368,             0.60615,             0.60866,             0.25365,             0.05388,             0.17159,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.053607,             0.20613,                   0,             0.64179,             0.62966,             0.64204,             0.26651,            0.052756,             0.16799,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.053995,             0.21286,                   0,              0.6306,             0.60991,             0.62393,             0.26149,            0.053287,             0.17093,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.053771,             0.21147,                   0,             0.64285,             0.62496,             0.63743,             0.27105,            0.052642,             0.17159,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.054095,             0.20869,                   0,             0.62816,             0.62351,             0.63392,             0.26668,            0.052884,             0.17026,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.053568,             0.21016,                   0,             0.64805,             0.61377,             0.63459,              0.2711,            0.052746,             0.17113,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.05371,             0.21212,                   0,             0.64582,             0.62465,             0.64259,             0.26792,            0.052812,             0.16842,                   0,            0.000298,            0.000298,            0.000298
